product;assembly;part_number;process_sequence;process;machine;processing_hours;working_hours_per_day;assigned_staff;maintenance_between_operations;maintenance_time_hours
Бобышка;Assembly_41;Part_00109;3;Heat treatment;Печь термообработки 1;5,52;20;1;no;0,2
Бобышка;Assembly_41;Part_00109;4;Grinding;Шлифовальный станок 1;1,84;16;3;no;0,78
Бобышка;Assembly_41;Part_00109;5;Polishing;Полировальный станок 1;1,27;24;2;yes;1,29
Бобышка;Assembly_41;Part_01217;1;Cutting;Ленточнопильный станок 2;1,12;16;2;yes;0,26
Бобышка;Assembly_41;Part_01217;2;Turning;Токарный станок 2;2,46;16;3;no;1,26
Бобышка;Assembly_41;Part_01217;3;Heat treatment;Печь термообработки 1;4,65;20;1;no;0,2
Бобышка;Assembly_41;Part_01217;4;Grinding;Шлифовальный станок 1;1,89;16;3;no;0,78
Бобышка;Assembly_41;Part_01217;5;Polishing;Полировальный станок 1;1,19;24;2;yes;1,29
Бобышка;Assembly_42;Part_01238;1;Cutting;Ленточнопильный станок 2;0,63;16;2;yes;0,26
Бобышка;Assembly_42;Part_01238;2;Turning;Токарный станок 1;1,97;20;2;yes;0,49
Бобышка;Assembly_42;Part_01238;3;Heat treatment;Печь термообработки 1;6,54;20;1;no;0,2
Бобышка;Assembly_42;Part_01238;4;Grinding;Шлифовальный станок 1;1;16;3;no;0,78
Бобышка;Assembly_42;Part_01238;5;Polishing;Полировальный станок 1;1,05;24;2;yes;1,29
Бобышка;Assembly_44;Part_01204;1;Casting;Литейная установка 1;3,58;;;;
Бобышка;Assembly_44;Part_01204;2;Milling;Фрезерный станок 2;5,2;24;2;yes;0,67
Бобышка;Assembly_44;Part_01204;3;Drilling;Сверлильный станок 1;1,5;16;3;yes;1,1
Бобышка;Assembly_45;Part_00423;1;Casting;Литейная установка 1;2,64;;;;
Бобышка;Assembly_45;Part_00423;2;Milling;Фрезерный станок 2;4,95;24;2;yes;0,67
Бобышка;Assembly_45;Part_00423;3;Drilling;Сверлильный станок 1;1,16;16;3;yes;1,1
Бобышка;Assembly_47;Part_00389;1;Forging;Кузнечный пресс 1;2,15;;;;
Бобышка;Assembly_47;Part_00389;2;Turning;Токарный станок 2;4,03;16;3;no;1,26
Бобышка;Assembly_47;Part_00389;3;Grinding;Шлифовальный станок 1;1,41;16;3;no;0,78
Бобышка;Assembly_48;Part_00200;1;Cutting;Ленточнопильный станок 1;0,54;16;2;no;0,53
Бобышка;Assembly_48;Part_00200;2;Turning;Токарный станок 2;3,49;16;3;no;1,26
Бобышка;Assembly_48;Part_00200;3;Heat treatment;Печь термообработки 1;7,59;20;1;no;0,2
Бобышка;Assembly_48;Part_00200;4;Grinding;Шлифовальный станок 1;2,13;16;3;no;0,78
Бобышка;Assembly_48;Part_00200;5;Polishing;Полировальный станок 1;0,9;24;2;yes;1,29
Бобышка;Assembly_50;Part_00617;1;Forging;Кузнечный пресс 1;3,42;;;;
Бобышка;Assembly_50;Part_00617;2;Turning;Токарный станок 1;2,4;20;2;yes;0,49
Бобышка;Assembly_50;Part_00617;3;Grinding;Шлифовальный станок 1;2,72;16;3;no;0,78
Бобышка;Assembly_54;Part_00561;1;Casting;Литейная установка 1;4,09;;;;
Бобышка;Assembly_54;Part_00561;2;Milling;Фрезерный станок 2;5,39;24;2;yes;0,67
Бобышка;Assembly_54;Part_00561;3;Drilling;Сверлильный станок 1;1,32;16;3;yes;1,1
Бобышка;Assembly_54;Part_00585;1;Cutting;Ленточнопильный станок 1;0,59;16;2;no;0,53
Бобышка;Assembly_54;Part_00585;2;Turning;Токарный станок 1;2,58;20;2;yes;0,49
Бобышка;Assembly_54;Part_00585;3;Heat treatment;Печь термообработки 1;5,96;20;1;no;0,2
Бобышка;Assembly_54;Part_00585;4;Grinding;Шлифовальный станок 1;1,04;16;3;no;0,78
Бобышка;Assembly_54;Part_00585;5;Polishing;Полировальный станок 1;0,73;24;2;yes;1,29
Бобышка;Assembly_57;Part_00276;1;Cutting;Ленточнопильный станок 2;1,18;16;2;yes;0,26
Бобышка;Assembly_57;Part_00276;2;Milling;Фрезерный станок 2;5,37;24;2;yes;0,67
Бобышка;Assembly_57;Part_00276;3;Heat treatment;Печь термообработки 1;3,65;20;1;no;0,2
Бобышка;Assembly_57;Part_00276;4;Grinding;Шлифовальный станок 1;1,86;16;3;no;0,78
Бобышка;Assembly_59;Part_00570;1;Casting;Литейная установка 1;3,14;;;;
Бобышка;Assembly_59;Part_00570;2;Milling;Фрезерный станок 1;2,97;16;1;no;1,44
Бобышка;Assembly_59;Part_00570;3;Drilling;Сверлильный станок 1;0,99;16;3;yes;1,1
Бобышка;Assembly_59;Part_00741;1;Casting;Литейная установка 1;2,14;;;;
Бобышка;Assembly_59;Part_00741;2;Milling;Фрезерный станок 1;5,84;16;1;no;1,44
Бобышка;Assembly_59;Part_00741;3;Drilling;Сверлильный станок 1;1,88;16;3;yes;1,1
Бобышка;Assembly_60;Part_00094;1;Cutting;Ленточнопильный станок 1;1,35;16;2;no;0,53
Бобышка;Assembly_60;Part_00094;2;Milling;Фрезерный станок 2;3,08;24;2;yes;0,67
Бобышка;Assembly_60;Part_00094;3;Drilling;Сверлильный станок 1;1,69;16;3;yes;1,1
Бобышка;Assembly_60;Part_00094;4;Grinding;Шлифовальный станок 1;2,27;16;3;no;0,78
Бобышка;Assembly_60;Part_00280;1;Cutting;Ленточнопильный станок 1;0,56;16;2;no;0,53
Бобышка;Assembly_60;Part_00280;2;Milling;Фрезерный станок 2;2,15;24;2;yes;0,67
Бобышка;Assembly_60;Part_00280;3;Heat treatment;Печь термообработки 1;3,88;20;1;no;0,2
Бобышка;Assembly_60;Part_00280;4;Grinding;Шлифовальный станок 1;2,24;16;3;no;0,78
Бобышка;Assembly_60;Part_00583;1;Forging;Кузнечный пресс 1;3,48;;;;
Бобышка;Assembly_60;Part_00583;2;Turning;Токарный станок 2;4,76;16;3;no;1,26
Бобышка;Assembly_60;Part_00583;3;Grinding;Шлифовальный станок 1;1,53;16;3;no;0,78
Бобышка;Assembly_60;Part_01272;1;Cutting;Ленточнопильный станок 2;0,62;16;2;yes;0,26
Бобышка;Assembly_60;Part_01272;2;Turning;Токарный станок 1;3,86;20;2;yes;0,49
Бобышка;Assembly_60;Part_01272;3;Heat treatment;Печь термообработки 1;7,16;20;1;no;0,2
Бобышка;Assembly_60;Part_01272;4;Grinding;Шлифовальный станок 1;2,32;16;3;no;0,78
Бобышка;Assembly_60;Part_01272;5;Polishing;Полировальный станок 1;0,61;24;2;yes;1,29
Бобышка;Assembly_8;Part_01043;1;Cutting;Ленточнопильный станок 1;1,1;16;2;no;0,53
Бобышка;Assembly_8;Part_01043;2;Milling;Фрезерный станок 2;2,03;24;2;yes;0,67
Бобышка;Assembly_8;Part_01043;3;Drilling;Сверлильный станок 1;1,98;16;3;yes;1,1
Бобышка;Assembly_8;Part_01043;4;Grinding;Шлифовальный станок 1;2,92;16;3;no;0,78
Бобышка;Assembly_9;Part_00931;1;Cutting;Ленточнопильный станок 2;1,44;16;2;yes;0,26
Бобышка;Assembly_9;Part_00931;2;Milling;Фрезерный станок 1;5,75;16;1;no;1,44
Бобышка;Assembly_9;Part_00931;3;Heat treatment;Печь термообработки 1;7,47;20;1;no;0,2
Бобышка;Assembly_9;Part_00931;4;Grinding;Шлифовальный станок 1;1,68;16;3;no;0,78
Вал;Assembly_11;Part_01136;1;Casting;Литейная установка 1;2,35;;;;
Вал;Assembly_11;Part_01136;2;Milling;Фрезерный станок 1;3,69;16;1;no;1,44
Вал;Assembly_11;Part_01136;3;Drilling;Сверлильный станок 1;0,6;16;3;yes;1,1
Вал;Assembly_12;Part_00178;1;Cutting;Ленточнопильный станок 2;1,41;16;2;yes;0,26
Вал;Assembly_12;Part_00178;2;Turning;Токарный станок 1;1,71;20;2;yes;0,49
Вал;Assembly_12;Part_00178;3;Heat treatment;Печь термообработки 1;7,39;20;1;no;0,2
Вал;Assembly_12;Part_00178;4;Grinding;Шлифовальный станок 1;1,13;16;3;no;0,78
Вал;Assembly_12;Part_00178;5;Polishing;Полировальный станок 1;0,65;24;2;yes;1,29
Вал;Assembly_12;Part_00793;1;Casting;Литейная установка 1;4,89;;;;
Вал;Assembly_12;Part_00793;2;Milling;Фрезерный станок 2;4,85;24;2;yes;0,67
Вал;Assembly_12;Part_00793;3;Drilling;Сверлильный станок 1;0,71;16;3;yes;1,1
Вал;Assembly_14;Part_00155;1;Casting;Литейная установка 1;2,83;;;;
Вал;Assembly_14;Part_00155;2;Milling;Фрезерный станок 2;2,19;24;2;yes;0,67
Вал;Assembly_14;Part_00155;3;Drilling;Сверлильный станок 1;1,68;16;3;yes;1,1
Вал;Assembly_14;Part_00375;1;Cutting;Ленточнопильный станок 2;1,3;16;2;yes;0,26
Вал;Assembly_14;Part_00375;2;Milling;Фрезерный станок 2;5,17;24;2;yes;0,67
Вал;Assembly_14;Part_00375;3;Heat treatment;Печь термообработки 1;5,16;20;1;no;0,2
Вал;Assembly_14;Part_00375;4;Grinding;Шлифовальный станок 1;2,89;16;3;no;0,78
Вал;Assembly_14;Part_00905;1;Casting;Литейная установка 1;4,22;;;;
Вал;Assembly_14;Part_00905;2;Milling;Фрезерный станок 2;3,17;24;2;yes;0,67
Вал;Assembly_14;Part_00905;3;Drilling;Сверлильный станок 1;1,48;16;3;yes;1,1
Вал;Assembly_14;Part_00946;1;Cutting;Ленточнопильный станок 2;0,73;16;2;yes;0,26
Вал;Assembly_14;Part_00946;2;Turning;Токарный станок 2;1,94;16;3;no;1,26
Вал;Assembly_14;Part_00946;3;Heat treatment;Печь термообработки 1;6,61;20;1;no;0,2
Вал;Assembly_14;Part_00946;4;Grinding;Шлифовальный станок 1;2,04;16;3;no;0,78
Вал;Assembly_14;Part_00946;5;Polishing;Полировальный станок 1;0,94;24;2;yes;1,29
Вал;Assembly_15;Part_01215;1;Casting;Литейная установка 1;2,47;;;;
Вал;Assembly_15;Part_01215;2;Milling;Фрезерный станок 1;3,4;16;1;no;1,44
Вал;Assembly_15;Part_01215;3;Drilling;Сверлильный станок 1;1,4;16;3;yes;1,1
Вал;Assembly_16;Part_00069;1;Cutting;Ленточнопильный станок 2;0,96;16;2;yes;0,26
Вал;Assembly_16;Part_00069;2;Turning;Токарный станок 2;2,24;16;3;no;1,26
Вал;Assembly_16;Part_00069;3;Heat treatment;Печь термообработки 1;4,65;20;1;no;0,2
Вал;Assembly_16;Part_00069;4;Grinding;Шлифовальный станок 1;2,82;16;3;no;0,78
Вал;Assembly_16;Part_00069;5;Polishing;Полировальный станок 1;0,55;24;2;yes;1,29
Вал;Assembly_16;Part_00383;1;Casting;Литейная установка 1;3,68;;;;
Вал;Assembly_16;Part_00383;2;Milling;Фрезерный станок 1;5,14;16;1;no;1,44
Вал;Assembly_16;Part_00383;3;Drilling;Сверлильный станок 1;0,83;16;3;yes;1,1
Вал;Assembly_16;Part_00766;1;Cutting;Ленточнопильный станок 1;1,1;16;2;no;0,53
Вал;Assembly_16;Part_00766;2;Milling;Фрезерный станок 2;2,82;24;2;yes;0,67
Вал;Assembly_16;Part_00766;3;Heat treatment;Печь термообработки 1;3,14;20;1;no;0,2
Вал;Assembly_16;Part_00766;4;Grinding;Шлифовальный станок 1;2,25;16;3;no;0,78
Вал;Assembly_17;Part_00287;1;Cutting;Ленточнопильный станок 1;1,35;16;2;no;0,53
Вал;Assembly_17;Part_00287;2;Milling;Фрезерный станок 1;3,05;16;1;no;1,44
Вал;Assembly_17;Part_00287;3;Heat treatment;Печь термообработки 1;3,8;20;1;no;0,2
Вал;Assembly_17;Part_00287;4;Grinding;Шлифовальный станок 1;1,98;16;3;no;0,78
Вал;Assembly_17;Part_00532;1;Cutting;Ленточнопильный станок 2;1,04;16;2;yes;0,26
Вал;Assembly_17;Part_00532;2;Milling;Фрезерный станок 2;5,61;24;2;yes;0,67
Вал;Assembly_17;Part_00532;3;Drilling;Сверлильный станок 1;1,96;16;3;yes;1,1
Вал;Assembly_17;Part_00532;4;Grinding;Шлифовальный станок 1;2,41;16;3;no;0,78
Вал;Assembly_17;Part_00736;1;Casting;Литейная установка 1;3,18;;;;
Вал;Assembly_17;Part_00736;2;Milling;Фрезерный станок 2;2,2;24;2;yes;0,67
Вал;Assembly_17;Part_00736;3;Drilling;Сверлильный станок 1;0,8;16;3;yes;1,1
Вал;Assembly_17;Part_00794;1;Cutting;Ленточнопильный станок 1;1,15;16;2;no;0,53
Вал;Assembly_17;Part_00794;2;Turning;Токарный станок 1;4,31;20;2;yes;0,49
Вал;Assembly_17;Part_00794;3;Heat treatment;Печь термообработки 1;4,01;20;1;no;0,2
Вал;Assembly_17;Part_00794;4;Grinding;Шлифовальный станок 1;1,98;16;3;no;0,78
Вал;Assembly_17;Part_00794;5;Polishing;Полировальный станок 1;0,82;24;2;yes;1,29
Вал;Assembly_17;Part_01249;1;Casting;Литейная установка 1;3,03;;;;
Вал;Assembly_17;Part_01249;2;Milling;Фрезерный станок 2;5,95;24;2;yes;0,67
Вал;Assembly_17;Part_01249;3;Drilling;Сверлильный станок 1;1,02;16;3;yes;1,1
Вал;Assembly_18;Part_01085;1;Casting;Литейная установка 1;4,51;;;;
Вал;Assembly_18;Part_01085;2;Milling;Фрезерный станок 1;3,38;16;1;no;1,44
Вал;Assembly_18;Part_01085;3;Drilling;Сверлильный станок 1;1,39;16;3;yes;1,1
Вал;Assembly_19;Part_00190;1;Cutting;Ленточнопильный станок 1;0,7;16;2;no;0,53
Вал;Assembly_19;Part_00190;2;Milling;Фрезерный станок 1;2,89;16;1;no;1,44
Вал;Assembly_19;Part_00190;3;Drilling;Сверлильный станок 1;0,71;16;3;yes;1,1
Вал;Assembly_19;Part_00190;4;Grinding;Шлифовальный станок 1;1,15;16;3;no;0,78
Вал;Assembly_2;Part_00603;1;Cutting;Ленточнопильный станок 2;0,98;16;2;yes;0,26
Вал;Assembly_2;Part_00603;2;Milling;Фрезерный станок 1;3,6;16;1;no;1,44
Вал;Assembly_2;Part_00603;3;Heat treatment;Печь термообработки 1;6,55;20;1;no;0,2
Вал;Assembly_2;Part_00603;4;Grinding;Шлифовальный станок 1;1,99;16;3;no;0,78
Вал;Assembly_20;Part_00139;1;Cutting;Ленточнопильный станок 1;0,85;16;2;no;0,53
Вал;Assembly_20;Part_00139;2;Turning;Токарный станок 2;1,81;16;3;no;1,26
Вал;Assembly_20;Part_00139;3;Heat treatment;Печь термообработки 1;4,04;20;1;no;0,2
Вал;Assembly_20;Part_00139;4;Grinding;Шлифовальный станок 1;1,04;16;3;no;0,78
Вал;Assembly_20;Part_00139;5;Polishing;Полировальный станок 1;1,12;24;2;yes;1,29
Вал;Assembly_20;Part_00590;1;Cutting;Ленточнопильный станок 1;0,92;16;2;no;0,53
Вал;Assembly_20;Part_00590;2;Milling;Фрезерный станок 2;5,93;24;2;yes;0,67
Вал;Assembly_20;Part_00590;3;Heat treatment;Печь термообработки 1;3,87;20;1;no;0,2
Вал;Assembly_20;Part_00590;4;Grinding;Шлифовальный станок 1;2,62;16;3;no;0,78
Вал;Assembly_22;Part_00485;1;Casting;Литейная установка 1;2,59;;;;
Вал;Assembly_22;Part_00485;2;Milling;Фрезерный станок 1;5,42;16;1;no;1,44
Вал;Assembly_22;Part_00485;3;Drilling;Сверлильный станок 1;1,13;16;3;yes;1,1
Вал;Assembly_22;Part_01285;1;Casting;Литейная установка 1;3,18;;;;
Вал;Assembly_22;Part_01285;2;Milling;Фрезерный станок 1;5,33;16;1;no;1,44
Вал;Assembly_22;Part_01285;3;Drilling;Сверлильный станок 1;0,6;16;3;yes;1,1
Вал;Assembly_24;Part_00147;1;Cutting;Ленточнопильный станок 1;0,84;16;2;no;0,53
Вал;Assembly_24;Part_00147;2;Turning;Токарный станок 1;3,1;20;2;yes;0,49
Вал;Assembly_24;Part_00147;3;Heat treatment;Печь термообработки 1;7,46;20;1;no;0,2
Вал;Assembly_24;Part_00147;4;Grinding;Шлифовальный станок 1;1,94;16;3;no;0,78
Вал;Assembly_24;Part_00147;5;Polishing;Полировальный станок 1;1,49;24;2;yes;1,29
Вал;Assembly_26;Part_00035;1;Cutting;Ленточнопильный станок 1;0,77;16;2;no;0,53
Вал;Assembly_26;Part_00035;2;Milling;Фрезерный станок 1;4,92;16;1;no;1,44
Вал;Assembly_26;Part_00035;3;Drilling;Сверлильный станок 1;1,45;16;3;yes;1,1
Вал;Assembly_26;Part_00035;4;Grinding;Шлифовальный станок 1;2,5;16;3;no;0,78
Вал;Assembly_26;Part_00837;1;Forging;Кузнечный пресс 1;2,02;;;;
Вал;Assembly_26;Part_00837;2;Turning;Токарный станок 1;1,68;20;2;yes;0,49
Вал;Assembly_26;Part_00837;3;Grinding;Шлифовальный станок 1;1,63;16;3;no;0,78
Вал;Assembly_26;Part_01078;1;Cutting;Ленточнопильный станок 1;1,02;16;2;no;0,53
Вал;Assembly_26;Part_01078;2;Milling;Фрезерный станок 1;5,29;16;1;no;1,44
